Id,ClassName,Status,TuitionFee,StartDate,EndDate,CreatedOn,CreatedBy,UpdateOn,UpdateBy
105,RandomString_270,726,669,2027-06-15 11:01:52,2025-01-12 20:44:32,2024-12-11 20:46:26,RandomString_470,2022-12-01 01:38:09,RandomString_481
423,RandomString_289,842,415,2026-01-20 22:51:52,2023-10-12 04:40:27,2027-04-07 04:38:39,RandomString_752,2025-11-26 21:07:05,RandomString_960
931,RandomString_600,259,148,2025-12-31 19:08:11,2025-04-23 02:27:45,2022-10-15 04:50:52,RandomString_431,2025-07-02 22:45:56,RandomString_982
877,RandomString_428,869,567,2025-12-08 09:20:47,2027-05-16 03:29:59,2027-06-18 12:16:51,RandomString_592,2023-05-17 20:18:16,RandomString_403
268,RandomString_736,433,481,2027-07-19 16:06:56,2022-09-13 14:57:22,2022-12-29 09:23:23,RandomString_806,2025-01-05 17:14:16,RandomString_806
639,RandomString_612,104,173,2022-07-17 13:39:51,2026-11-19 17:06:07,2027-01-20 03:47:51,RandomString_886,2025-03-11 22:48:38,RandomString_105
464,RandomString_58,165,359,2024-08-21 06:43:08,2022-09-18 04:09:03,2025-02-19 21:42:36,RandomString_86,2023-10-12 15:59:49,RandomString_535
280,RandomString_458,585,850,2027-06-17 22:27:46,2025-07-28 09:54:28,2026-01-11 13:19:28,RandomString_650,2027-04-14 00:32:54,RandomString_750
849,RandomString_143,722,314,2024-11-12 11:26:30,2024-09-22 20:34:10,2022-09-23 19:44:27,RandomString_453,2026-06-04 05:05:42,RandomString_200
471,RandomString_637,177,732,2025-01-27 18:22:52,2022-12-08 08:30:46,2027-07-24 19:05:07,RandomString_214,2023-06-10 03:52:43,RandomString_388
