Id,ClassName,Status,TuitionFee,StartDate,EndDate,CreatedOn,CreatedBy,UpdateOn,UpdateBy
990,RandomString_341,531,400,,,,RandomString_848,,RandomString_49
902,RandomString_263,288,181,,,,RandomString_958,,RandomString_531
813,RandomString_950,499,301,,,,RandomString_422,,RandomString_239
466,RandomString_20,981,273,,,,RandomString_142,,RandomString_136
351,RandomString_924,487,813,,,,RandomString_888,,RandomString_819
828,RandomString_759,564,280,,,,RandomString_726,,RandomString_975
31,RandomString_757,72,146,,,,RandomString_451,,RandomString_197
545,RandomString_403,557,583,,,,RandomString_843,,RandomString_447
952,RandomString_524,908,963,,,,RandomString_504,,RandomString_425
59,RandomString_298,678,830,,,,RandomString_401,,RandomString_718
